id;name;description;authority_attach
1;South Corporate;transmit Papua Metal;Borders
2;Program;Electronics analyzing innovate;strategic brand holistic
3;Supervisor Georgia;Australia Directives;up
4;Fork connect;Tasty Niger channels;ivory
5;deliver;foreground Incredible Indiana;best-of-breed Forest
6;quantify technologies;Integrated turquoise;schemas Agent
7;circuit models;Dynamic Taiwan;quantifying
8;Producer Integrated;ADP Tanzania Synergistic;e-markets compressing
9;utilisation copying Germany;indexing;bluetooth
10;parse;lavender;primary
