id;title;price;image;image_content_type
1;fat how warp;27446.56;../fake-data/blob/hipster.png;image/png
2;beneath;18459.52;../fake-data/blob/hipster.png;image/png
3;nor;13549.71;../fake-data/blob/hipster.png;image/png
4;forceful;17963.05;../fake-data/blob/hipster.png;image/png
5;commonly blindly;26078.9;../fake-data/blob/hipster.png;image/png
6;worth;28928.69;../fake-data/blob/hipster.png;image/png
7;likely male;9323.47;../fake-data/blob/hipster.png;image/png
8;secret;23093.76;../fake-data/blob/hipster.png;image/png
9;sate confused stark;6251.46;../fake-data/blob/hipster.png;image/png
10;entry ouch;12911.04;../fake-data/blob/hipster.png;image/png
